repeat,fold,n_features,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed,model_key,mode,gate_type,selected_trial,feature_bundle,variant
1,1,55,0.880064829821718,0.9278169014084507,0.9410714285714286,0.9343971631205674,0.32653061224489793,0.2807017543859649,0.3018867924528302,0.22794128479247022,lr,single,diagnostic,22,low_plus_medium,baseline
1,2,55,0.8557536466774717,0.9212880143112702,0.9196428571428571,0.9204647006255585,0.22413793103448276,0.22807017543859648,0.22608695652173913,0.18756932706664334,lr,single,diagnostic,22,low_plus_medium,baseline
1,3,55,0.8636363636363636,0.9234875444839857,0.9267857142857143,0.9251336898395722,0.24074074074074073,0.23214285714285715,0.23636363636363636,0.20522609830327326,lr,single,diagnostic,22,low_plus_medium,baseline
1,4,55,0.8392857142857143,0.9198542805100182,0.9017857142857143,0.9107303877366997,0.1791044776119403,0.21428571428571427,0.1951219512195122,0.17799247219863515,lr,single,diagnostic,22,low_plus_medium,baseline
1,5,55,0.8409090909090909,0.92,0.9035714285714286,0.9117117117117117,0.18181818181818182,0.21428571428571427,0.19672131147540983,0.14850735836459703,lr,single,diagnostic,22,low_plus_medium,baseline
2,1,55,0.873581847649919,0.9184027777777778,0.9446428571428571,0.9313380281690141,0.24390243902439024,0.17543859649122806,0.20408163265306123,0.15249956680685564,lr,single,diagnostic,22,low_plus_medium,baseline
2,2,55,0.8768233387358185,0.926056338028169,0.9392857142857143,0.9326241134751773,0.30612244897959184,0.2631578947368421,0.2830188679245283,0.2227038450856509,lr,single,diagnostic,22,low_plus_medium,baseline
2,3,55,0.862012987012987,0.926391382405745,0.9214285714285714,0.9239033124440466,0.2542372881355932,0.26785714285714285,0.2608695652173913,0.20266240339753158,lr,single,diagnostic,22,low_plus_medium,baseline
2,4,55,0.797077922077922,0.9223300970873787,0.8482142857142857,0.8837209302325582,0.15841584158415842,0.2857142857142857,0.20382165605095542,0.21251451768547314,lr,single,diagnostic,22,low_plus_medium,baseline
2,5,55,0.8262987012987013,0.9233644859813084,0.8821428571428571,0.902283105022831,0.18518518518518517,0.26785714285714285,0.21897810218978103,0.1738506172855397,lr,single,diagnostic,22,low_plus_medium,baseline
