model_key,mode,gate_type,selected_trial,feature_bundle,variant,n_features,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std,delta_closed_f1_vs_baseline,delta_pr_auc_closed_vs_baseline
lr,single,diagnostic,22,low_plus_medium,baseline,55.0,0.8515444442105707,0.024655508737410736,0.9228991821994104,0.002961820242508668,0.912857142857143,0.028546864440560808,0.9176307142377738,0.01505174259229035,0.23001951463591624,0.052997863171524114,0.24295112781954886,0.033826535870402866,0.2326950472068845,0.035661345193722924,0.19114674909866697,0.026332146764960054,0.0,0.0
lr,single,diagnostic,22,low_plus_medium,minus_spatial,52.0,0.8377615293944304,0.03477040648094811,0.9225552278075753,0.0038189462310982895,0.8966071428571428,0.03910225018317687,0.9090033941016168,0.02151031538223241,0.2137649910296941,0.05877983352375213,0.2535087719298246,0.03410121896785175,0.2269556149241533,0.04081709795221701,0.18339028032932347,0.034175952834372254,-0.005739432282731188,-0.007756468769343494
lr,single,diagnostic,22,low_plus_medium,minus_category,50.0,0.8489509882338083,0.023405162957625222,0.9234358878951214,0.0035250217778026592,0.9091071428571429,0.026515903006401623,0.9160312736826193,0.01420255105929101,0.22732985563183852,0.05228236391468144,0.2517857142857143,0.03681818834364797,0.23581345151648309,0.039199213955206993,0.18949996452067147,0.027528362008293682,0.003118404309598588,-0.001646784577995497
lr,single,diagnostic,22,low_plus_medium,minus_source_provenance,47.0,0.864362278726136,0.022776670728789566,0.9223337118025926,0.003045182745676391,0.9289285714285714,0.026327024991403016,0.9254366934854537,0.013644562699853483,0.2545400664636959,0.06507540648892127,0.22333959899749373,0.036886473654732695,0.23373144359973042,0.040279590875611504,0.19346311037881472,0.02701958018545383,0.0010363963928459174,0.002316361280147755
lr,single,diagnostic,22,low_plus_medium,minus_temporal,48.0,0.8969818876423415,0.008601630329530773,0.9171602061222679,0.0028141274425439685,0.9746428571428571,0.00909838514489784,0.9450080900088281,0.004803910600946037,0.34794254658385093,0.08519709872035665,0.12590852130325814,0.030391200172014066,0.1824594584110434,0.04162149118757251,0.20310057488364225,0.03180063114599551,-0.050235588795841085,0.01195382578497528
lr,single,diagnostic,22,low_plus_medium,minus_completeness_contact,32.0,0.8825372560988445,0.014496105127032732,0.9153677162075086,0.0030134662808931237,0.9594642857142859,0.018780587296026535,0.9367911380324372,0.008464655280788005,0.2470293120385627,0.08030850826988169,0.11885964912280703,0.04168696624249357,0.15419616676450235,0.03473611349830124,0.18725865116616155,0.032523783306459005,-0.07849888044238215,-0.0038880979325054132
lr,single,diagnostic,22,low_plus_medium,minus_interactions,50.0,0.8148763918415458,0.03558817390222419,0.9216258195985609,0.00365177979726904,0.8701785714285715,0.0405954562904344,0.8947179081161218,0.022207906035767534,0.1833422324100565,0.04997163086290136,0.2660401002506265,0.03402399873244864,0.21201977888962728,0.03482121733405431,0.1662546481473841,0.030047363368756717,-0.020675268317257217,-0.02489210095128286
lr,two-stage,diagnostic,37,v2_lr2,baseline,34.0,0.8744324759519249,0.011196676259361155,0.9206751756217461,0.003848214107910138,0.9430357142857144,0.010933763939172596,0.9316947014623655,0.0063694976223211365,0.2592608952224059,0.06102448948103084,0.19335839598997495,0.03720105854396792,0.22036973946323352,0.04340304144547651,0.19104921236370975,0.032465582195458954,0.0,0.0
lr,two-stage,diagnostic,37,v2_lr2,minus_spatial,31.0,0.8745950767223052,0.010256993653793208,0.9211310131779946,0.0038002717625612473,0.9426785714285714,0.009762812094883305,0.9317590713592153,0.0058132791072964774,0.2620596103236729,0.059290999016853856,0.19862155388471178,0.03800785139426121,0.22503288496961202,0.04355030857720725,0.19761858055105436,0.03382565730534764,0.004663145506378502,0.006569368187344604
lr,two-stage,diagnostic,37,v2_lr2,minus_category,29.0,0.8719984634490308,0.009589660920490944,0.919458890702549,0.0027572139809291176,0.9416071428571428,0.01190014791539009,0.9303577294267003,0.005611066572513058,0.24166926095704122,0.04085587092356389,0.18095238095238098,0.031077062609799356,0.20497015755128883,0.026687834478115065,0.19122415950054594,0.027237224558093714,-0.015399581911944682,0.0001749471368361899
