model_family,model_key,mode,feature_bundle,repeat,fold,n_train,n_val,decision_threshold,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed
LogisticRegression,lr,single,low_plus_medium,1,1,2465,617,0.5,0.6434359805510534,0.9381443298969072,0.65,0.7679324894514767,0.14410480349344978,0.5789473684210527,0.23076923076923078,0.14177613788426113
LogisticRegression,lr,two-stage,low_plus_medium,1,1,2465,617,0.5,0.7163695299837926,0.9425287356321839,0.7321428571428571,0.8241206030150754,0.17582417582417584,0.5614035087719298,0.26778242677824265,0.14837147946486964
LightGBM,lightgbm,single,low_plus_medium,1,1,2465,617,0.5,0.8427876823338736,0.9156193895870736,0.9107142857142857,0.9131602506714414,0.16666666666666666,0.17543859649122806,0.17094017094017094,0.16873001498545195
LightGBM,lightgbm,two-stage,low_plus_medium,1,1,2465,617,0.5,0.839546191247974,0.9229357798165138,0.8982142857142857,0.9104072398190045,0.20833333333333334,0.2631578947368421,0.23255813953488372,0.17771070304007572
RandomForest,rf,single,low_plus_medium,1,1,2465,617,0.5,0.8833063209076175,0.9093959731543624,0.9678571428571429,0.9377162629757786,0.14285714285714285,0.05263157894736842,0.07692307692307693,0.12883476683703796
XGBoost,xgboost,single,low_plus_medium,1,1,2465,617,0.5,0.8865478119935171,0.9069767441860465,0.975,0.9397590361445783,0.06666666666666667,0.017543859649122806,0.027777777777777776,0.15147110617335066
XGBoost,xgboost,two-stage,low_plus_medium,1,1,2465,617,0.5,0.893030794165316,0.9075907590759076,0.9821428571428571,0.9433962264150944,0.09090909090909091,0.017543859649122806,0.029411764705882353,0.10247522382760685
LogisticRegression,lr,single,low_plus_medium,1,2,2465,617,0.5,0.6126418152350082,0.9349593495934959,0.6160714285714286,0.7427341227125942,0.13306451612903225,0.5789473684210527,0.21639344262295082,0.11308260294315187
LogisticRegression,lr,two-stage,low_plus_medium,1,2,2465,617,0.5,0.6628849270664505,0.9230769230769231,0.6857142857142857,0.7868852459016393,0.12437810945273632,0.43859649122807015,0.1937984496124031,0.11338201786288946
LightGBM,lightgbm,single,low_plus_medium,1,2,2465,617,0.5,0.8849270664505673,0.9095477386934674,0.9696428571428571,0.9386343993085566,0.15,0.05263157894736842,0.07792207792207792,0.1603971911110051
LightGBM,lightgbm,two-stage,low_plus_medium,1,2,2465,617,0.5,0.893030794165316,0.9102990033222591,0.9785714285714285,0.9432013769363167,0.2,0.05263157894736842,0.08333333333333333,0.12739703583144885
RandomForest,rf,single,low_plus_medium,1,2,2465,617,0.5,0.8833063209076175,0.9093959731543624,0.9678571428571429,0.9377162629757786,0.14285714285714285,0.05263157894736842,0.07692307692307693,0.14632886780349844
XGBoost,xgboost,single,low_plus_medium,1,2,2465,617,0.5,0.8865478119935171,0.9096989966555183,0.9714285714285714,0.9395509499136442,0.15789473684210525,0.05263157894736842,0.07894736842105263,0.14329288255195682
XGBoost,xgboost,two-stage,low_plus_medium,1,2,2465,617,0.5,0.893030794165316,0.9102990033222591,0.9785714285714285,0.9432013769363167,0.2,0.05263157894736842,0.08333333333333333,0.12581706276400434
LogisticRegression,lr,single,low_plus_medium,1,3,2466,616,0.5,0.6266233766233766,0.9532967032967034,0.6196428571428572,0.7510822510822511,0.15476190476190477,0.6964285714285714,0.2532467532467532,0.18623372218291176
LogisticRegression,lr,two-stage,low_plus_medium,1,3,2466,616,0.5,0.702922077922078,0.9498806682577565,0.7107142857142857,0.8130745658835546,0.17766497461928935,0.625,0.2766798418972332,0.1622333255970183
LightGBM,lightgbm,single,low_plus_medium,1,3,2466,616,0.5,0.8863636363636364,0.9110738255033557,0.9696428571428571,0.9394463667820069,0.15,0.05357142857142857,0.07894736842105263,0.16982376982864608
LightGBM,lightgbm,two-stage,low_plus_medium,1,3,2466,616,0.5,0.862012987012987,0.9218472468916519,0.9267857142857143,0.9243098842386465,0.22641509433962265,0.21428571428571427,0.22018348623853212,0.17929807153798072
RandomForest,rf,single,low_plus_medium,1,3,2466,616,0.5,0.887987012987013,0.9139966273187183,0.9678571428571429,0.9401561144839549,0.21739130434782608,0.08928571428571429,0.12658227848101267,0.16448915842258852
XGBoost,xgboost,single,low_plus_medium,1,3,2466,616,0.5,0.887987012987013,0.9112227805695142,0.9714285714285714,0.9403630077787382,0.15789473684210525,0.05357142857142857,0.08,0.175593575882772
