model_key,mode,gate_type,selected_trial,feature_bundle,params_json,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
lightgbm,single,production,31,low_plus_medium,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.9593466189446143, ""learning_rate"": 0.07469511543161889, ""min_child_samples"": 68, ""n_estimators"": 610, ""num_leaves"": 102, ""reg_lambda"": 0.347592087582426, ""scale_pos_weight"": null, ""subsample"": 0.7334551033312953}",0.8737832130052552,0.012203590180004628,0.9105091275866946,0.004093042803244714,0.9550000000000001,0.0169181704033243,0.9321260554387444,0.007238822414078451,0.11949274660900273,0.0616312676214506,0.06743943191311613,0.05482109628226864,0.08304127382349377,0.056597553151329624,0.14486085588793954,0.02140773274238353
lightgbm,single,diagnostic,11,low_plus_medium,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.9187268353300647, ""learning_rate"": 0.013867545951737233, ""min_child_samples"": 42, ""n_estimators"": 573, ""num_leaves"": 17, ""reg_lambda"": 1.1522300070727418, ""scale_pos_weight"": null, ""subsample"": 0.9317714459530946}",0.858642572986171,0.023757462924282817,0.9115800188549801,0.005351635989439234,0.9353571428571429,0.034257180586976334,0.9229024489951084,0.014920046923274168,0.11466256769561171,0.04907414183276501,0.09692982456140348,0.08638968746211874,0.09806124890824854,0.061853809579102914,0.14543400434155168,0.016942440740336025
lightgbm,two-stage,production,3,low_plus_medium,"{""class_weight"": null, ""colsample_bytree"": 0.9920819139594728, ""learning_rate"": 0.02250428696105457, ""min_child_samples"": 63, ""n_estimators"": 176, ""num_leaves"": 36, ""reg_lambda"": 0.12852885243670464, ""scale_pos_weight"": 9.03158713049037, ""subsample"": 0.8839618789125215}",0.8984418741712097,0.006071734657463656,0.9090890480013947,0.0016705484120998811,0.9869047619047621,0.006105181621408634,0.9463927469297567,0.0033390057222546384,0.1471957671957672,0.16689757666722932,0.020029239766081865,0.019174183602737375,0.034776047717340365,0.03364617633709544,0.11023222677687664,0.027927905455765317
lightgbm,two-stage,diagnostic,40,low_plus_medium,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8538161059807189, ""learning_rate"": 0.010543568260610304, ""min_child_samples"": 72, ""n_estimators"": 325, ""num_leaves"": 37, ""reg_lambda"": 0.6930483645409388, ""scale_pos_weight"": null, ""subsample"": 0.7813119666000653}",0.8341884344720649,0.06273426704379458,0.9109666751709775,0.006124947804056959,0.9066666666666666,0.08211300354678255,0.9065982270576192,0.04120003155886032,0.08646660448389695,0.04331223965462715,0.114766081871345,0.13385863136725257,0.08382755159119344,0.06694303462735864,0.1537982115613033,0.023422499743216346
lr,single,production,34,low_plus_medium,"{""C"": 0.22313377196144082, ""class_weight"": null, ""max_iter"": 3000, ""solver"": ""lbfgs""}",0.900065426199948,0.011209984847052188,0.910218916022823,0.0022443738953134176,0.9873809523809522,0.011889275641663229,0.9472028280897326,0.0062621626617823615,0.34691839025172355,0.3015930168809323,0.03310359231411863,0.02036667497311393,0.057356164041025344,0.035418084675223706,0.16015506733984783,0.032602467917873995
lr,single,diagnostic,36,low_plus_medium,"{""C"": 0.0931454834021353, ""class_weight"": {""0"": 2.0, ""1"": 1.0}, ""max_iter"": 1500, ""solver"": ""lbfgs""}",0.8850293277764915,0.017350408621273915,0.9145691299685466,0.0020246382887378037,0.963452380952381,0.020803039198859792,0.9382647227156146,0.010007624225032607,0.26753661900290887,0.09603996395735415,0.10643274853801168,0.026817595644898502,0.14410931264741103,0.026438504944116807,0.1739534062032826,0.03083320612442037
lr,two-stage,production,18,low_plus_medium,"{""C"": 0.013720490459732502, ""class_weight"": {""0"": 3.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.8966045030064479,0.006704900283807257,0.9154973853773403,0.00265501430676483,0.9763095238095238,0.006535703443481325,0.9449159638622731,0.0037077024200972133,0.31614600096562673,0.08185395312716175,0.10522138680033419,0.02793832099799541,0.15668505456860762,0.03921124487695014,0.18641915527227834,0.03002802708664606
lr,two-stage,diagnostic,36,low_plus_medium,"{""C"": 0.013289234657930875, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.862211019666449,0.015761432676796396,0.9222862923017594,0.003549997643420609,0.9264285714285713,0.019421917628126787,0.9242395324738184,0.009465414830335429,0.24072578328126742,0.04152757538752774,0.22472848788638264,0.04198519691062467,0.22927443246737375,0.032205718451353886,0.18540036760515125,0.028816068506331644
rf,single,production,7,low_plus_medium,"{""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 581}",0.8947657285987918,0.0069463983984005525,0.9151577591317926,0.0027903748617713383,0.9745238095238095,0.007810104508026996,0.9438903357035477,0.00389441139144946,0.2921705407697119,0.09266211334428018,0.10277777777777779,0.03416950842047207,0.15024115278654865,0.0469457697370259,0.19743464097233238,0.028754903244947085
rf,single,diagnostic,14,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 4, ""n_estimators"": 365}",0.8652395686431343,0.015838993496918956,0.9220170549721523,0.003958168970885004,0.930357142857143,0.017544888978038596,0.9260886551760471,0.00935260852154269,0.246544577295387,0.05037398748825239,0.21879699248120305,0.03926973875697611,0.2297446996117874,0.038086071397984624,0.17878171708833715,0.023162923728577603
