model_key,mode,gate_type,selected_trial,feature_bundle,params_json,selection_rationale,search_accuracy_mean,search_closed_precision_mean,search_closed_recall_mean,search_closed_f1_mean,search_pr_auc_closed_mean
lightgbm,single,production,31,low_plus_medium,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.9593466189446143, ""learning_rate"": 0.07469511543161889, ""min_child_samples"": 68, ""n_estimators"": 610, ""num_leaves"": 102, ""reg_lambda"": 0.347592087582426, ""scale_pos_weight"": null, ""subsample"": 0.7334551033312953}",No production gate-pass candidate; fallback to best precision/F1 tradeoff.,0.8715059251931214,0.1430089717046238,0.081766917293233,0.1013005081302499,0.1453679527208921
lightgbm,single,diagnostic,11,low_plus_medium,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.9187268353300647, ""learning_rate"": 0.013867545951737233, ""min_child_samples"": 42, ""n_estimators"": 573, ""num_leaves"": 17, ""reg_lambda"": 1.1522300070727418, ""scale_pos_weight"": null, ""subsample"": 0.9317714459530946}",No diagnostic gate-pass candidate; fallback to best closed-F1.,0.8131148834957587,0.1189507054321128,0.1954260651629072,0.1451963397450045,0.1324050858516949
lightgbm,two-stage,production,3,low_plus_medium,"{""class_weight"": null, ""colsample_bytree"": 0.9920819139594728, ""learning_rate"": 0.02250428696105457, ""min_child_samples"": 63, ""n_estimators"": 176, ""num_leaves"": 36, ""reg_lambda"": 0.12852885243670464, ""scale_pos_weight"": 9.03158713049037, ""subsample"": 0.8839618789125215}",No production gate-pass candidate; fallback to best precision/F1 tradeoff.,0.9000631459302447,0.1821428571428571,0.0248120300751879,0.0433834310850439,0.0998879878710821
lightgbm,two-stage,diagnostic,40,low_plus_medium,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8538161059807189, ""learning_rate"": 0.010543568260610304, ""min_child_samples"": 72, ""n_estimators"": 325, ""num_leaves"": 37, ""reg_lambda"": 0.6930483645409388, ""scale_pos_weight"": null, ""subsample"": 0.7813119666000653}",No diagnostic gate-pass candidate; fallback to best closed-F1.,0.8592019406849228,0.1028942765459375,0.0916040100250626,0.0838510491916064,0.1538582765614052
lr,single,production,34,low_plus_medium,"{""C"": 0.22313377196144082, ""class_weight"": null, ""max_iter"": 3000, ""solver"": ""lbfgs""}",No production gate-pass candidate; fallback to best precision/F1 tradeoff.,0.8922904081331959,0.3571428571428571,0.0212406015037594,0.0387635756056808,0.1657182510723552
lr,single,diagnostic,36,low_plus_medium,"{""C"": 0.0931454834021353, ""class_weight"": {""0"": 2.0, ""1"": 1.0}, ""max_iter"": 1500, ""solver"": ""lbfgs""}",Diagnostic gate-pass candidate (ranked by closed-F1 then PR-AUC).,0.8851338693721189,0.2801211647449678,0.1205513784461152,0.1634073087417164,0.1778354134204385
lr,two-stage,production,18,low_plus_medium,"{""C"": 0.013720490459732502, ""class_weight"": {""0"": 3.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",No production gate-pass candidate; fallback to best precision/F1 tradeoff.,0.8926045591361635,0.2823713323713323,0.1132832080200501,0.1600818789054083,0.196658147748222
lr,two-stage,diagnostic,36,low_plus_medium,"{""C"": 0.013289234657930875, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",Diagnostic gate-pass candidate (ranked by closed-F1 then PR-AUC).,0.8695662927024352,0.265907410394988,0.237844611528822,0.2506858531542539,0.1993378930523843
rf,single,production,7,low_plus_medium,"{""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 581}",No production gate-pass candidate; fallback to best precision/F1 tradeoff.,0.8952030141657371,0.2899286987522281,0.1172305764411027,0.162020343007767,0.2003789103940042
rf,single,diagnostic,14,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 4, ""n_estimators"": 365}",Diagnostic gate-pass candidate (ranked by closed-F1 then PR-AUC).,0.8685938453766655,0.2614922943379678,0.2340852130325814,0.245121412162564,0.1873542132610837
xgboost,single,production,12,low_plus_medium,"{""colsample_bytree"": 0.9938274433003016, ""learning_rate"": 0.09886267623469866, ""max_depth"": 5, ""min_child_weight"": 9.841300147940792, ""n_estimators"": 677, ""reg_lambda"": 8.05375224724506, ""scale_pos_weight"": 1.2400601720175615, ""subsample"": 0.9606567414265754}",No production gate-pass candidate; fallback to best precision/F1 tradeoff.,0.8818965880149026,0.1267161937238663,0.0426691729323308,0.0625812133072407,0.1279413374670558
xgboost,single,diagnostic,12,low_plus_medium,"{""colsample_bytree"": 0.9938274433003016, ""learning_rate"": 0.09886267623469866, ""max_depth"": 5, ""min_child_weight"": 9.841300147940792, ""n_estimators"": 677, ""reg_lambda"": 8.05375224724506, ""scale_pos_weight"": 1.2400601720175615, ""subsample"": 0.9606567414265754}",No diagnostic gate-pass candidate; fallback to best closed-F1.,0.8818965880149026,0.1267161937238663,0.0426691729323308,0.0625812133072407,0.1279413374670558
xgboost,two-stage,production,38,low_plus_medium,"{""colsample_bytree"": 0.6322941120010956, ""learning_rate"": 0.03364413927011694, ""max_depth"": 4, ""min_child_weight"": 6.865025211414946, ""n_estimators"": 267, ""reg_lambda"": 5.531184860465237, ""scale_pos_weight"": 6.685871461785531, ""subsample"": 0.9897668492435386}",No production gate-pass candidate; fallback to best precision/F1 tradeoff.,0.8955240059778147,0.15,0.0176691729323308,0.0304460835967685,0.104341153112169
xgboost,two-stage,diagnostic,32,low_plus_medium,"{""colsample_bytree"": 0.9861663813926942, ""learning_rate"": 0.10190099535966621, ""max_depth"": 4, ""min_child_weight"": 9.672219209999383, ""n_estimators"": 331, ""reg_lambda"": 5.14380200512991, ""scale_pos_weight"": 1.754225086326463, ""subsample"": 0.8145951695009003}",No diagnostic gate-pass candidate; fallback to best closed-F1.,0.89259929697531,0.1424358974358974,0.031829573934837,0.0517177359346793,0.1014452793833717
