feature,importance,importance_norm,rank
category_closure_risk,1896,0.21177259019323133,1
geo_cluster_id,1553,0.17346140958337988,2
name_length,1541,0.17212107673405563,3
spatial_cluster_closed_rate,1139,0.1272199262816933,4
max_update_time,424,0.047358427342790124,5
address_completeness,258,0.02881715626047135,6
num_categories,220,0.024572768904277897,7
ohe_source_dataset__Microsoft,220,0.024572768904277897,8
recency_days,155,0.01731263263710488,9
completeness_score,119,0.013291634089132134,10
brand_with_contacts,96,0.01072266279459399,11
ohe_primary_category__lawyer,95,0.010610968390483637,12
ohe_primary_category__american_restaurant,90,0.010052496369931866,13
has_multiple_datasets,70,0.007818608287724784,14
has_phones,61,0.006813358650731598,15
ohe_primary_category__mobile_phone_store,61,0.006813358650731598,16
has_long_name,56,0.006254886630179828,17
ohe_primary_category__holiday_rental_home,54,0.00603149782195912,18
has_websites,52,0.005808109013738412,19
ohe_primary_category__professional_services,52,0.005808109013738412,20
has_chain_pattern,51,0.005696414609628058,21
ohe_primary_category__pizza_restaurant,49,0.00547302580140735,22
contact_diversity,46,0.005137942589076287,23
ohe_primary_category__restaurant,44,0.004914553780855579,24
ohe_geo_cluster__CL_40.7_-74.0,39,0.004356081760303809,25
ohe_primary_category__hotel,32,0.0035742209315313303,26
ohe_primary_category__event_planning,32,0.0035742209315313303,27
ohe_primary_category__accommodation,31,0.0034625265274209763,28
ohe_primary_category__coffee_shop,28,0.003127443315089914,29
ohe_primary_category__resort,26,0.002904054506869206,30
ohe_primary_category__flowers_and_gifts_shop,23,0.0025689712945381436,31
multi_dataset_with_contacts,23,0.0025689712945381436,32
has_socials,23,0.0025689712945381436,33
ohe_primary_category__convenience_store,22,0.0024572768904277897,34
fresh,21,0.0023455824863174357,35
recent_with_contacts,21,0.0023455824863174357,36
ohe_primary_category__hardware_store,21,0.0023455824863174357,37
ohe_primary_category__discount_store,19,0.0021221936780967273,38
num_websites,19,0.0021221936780967273,39
single_source,19,0.0021221936780967273,40
has_alternate_categories,18,0.0020104992739863733,41
ohe_primary_category__fast_food_restaurant,16,0.0017871104657656651,42
ohe_primary_category__day_care_preschool,15,0.0016754160616553112,43
ohe_primary_category__bar,14,0.001563721657544957,44
has_multiple_sources,13,0.001452027253434603,45
ohe_primary_category__shopping,11,0.0012286384452138948,46
ohe_primary_category__mexican_restaurant,11,0.0012286384452138948,47
rich_profile,9,0.0010052496369931867,48
num_phones,8,0.0008935552328828326,49
has_brand,8,0.0008935552328828326,50
has_full_contact_info,6,0.0006701664246621244,51
has_short_name,5,0.0005584720205517703,52
num_socials,3,0.0003350832123310622,53
multiple_sources_with_contacts,3,0.0003350832123310622,54
stale,3,0.0003350832123310622,55
ohe_primary_category__campground,2,0.00022338880822070814,56
phones_present,2,0.00022338880822070814,57
very_stale,2,0.00022338880822070814,58
single_source_no_socials,1,0.00011169440411035407,59
socials_present,1,0.00011169440411035407,60
websites_present,1,0.00011169440411035407,61
ohe_primary_category__printing_services,0,0.0,62
ohe_primary_category__self_storage_facility,0,0.0,63
ohe_source_dataset__meta,0,0.0,64
ohe_primary_category__funeral_services_and_cemeteries,0,0.0,65
num_addresses,0,0.0,66
num_datasets,0,0.0,67
num_sources,0,0.0,68
source_temporal_diversity,0,0.0,69
sources_n,0,0.0,70
very_fresh,0,0.0,71
addresses_present,0,0.0,72
ohe_geo_cluster__CL_47.6_-122.3,0,0.0,73
ohe_geo_cluster__CL_34.1_-118.3,0,0.0,74
ohe_geo_cluster__CL_34.0_-118.2,0,0.0,75
ohe_geo_cluster__CL_33.2_-117.3,0,0.0,76
ohe_geo_cluster__CL_32.8_-96.8,0,0.0,77
ohe_geo_cluster__CL_30.3_-97.7,0,0.0,78
ohe_geo_cluster__CL_29.7_-95.4,0,0.0,79
ohe_geo_cluster__CL_29.4_-98.5,0,0.0,80
ohe_geo_cluster__CL_25.8_-80.1,0,0.0,81
has_primary_category,0,0.0,82
has_name,0,0.0,83
has_multiple_websites,0,0.0,84
has_multiple_socials,0,0.0,85
has_multiple_phones,0,0.0,86
has_multiple_addresses,0,0.0,87
has_many_sources,0,0.0,88
has_addresses,0,0.0,89
ohe_geo_cluster__CL_34.0_-118.3,0,0.0,90
ohe_geo_cluster__CL_34.1_-118.4,0,0.0,91
ohe_geo_cluster__CL_43.0_-87.9,0,0.0,92
ohe_geo_cluster__CL_34.2_-118.4,0,0.0,93
ohe_geo_cluster__CL_42.4_-71.1,0,0.0,94
ohe_geo_cluster__CL_42.0_-87.8,0,0.0,95
ohe_geo_cluster__CL_41.9_-87.6,0,0.0,96
ohe_geo_cluster__CL_41.8_-87.7,0,0.0,97
ohe_geo_cluster__CL_40.7_-73.8,0,0.0,98
ohe_geo_cluster__CL_40.4_-80.0,0,0.0,99
ohe_geo_cluster__CL_40.0_-75.2,0,0.0,100
ohe_geo_cluster__CL_39.7_-105.0,0,0.0,101
ohe_geo_cluster__CL_39.3_-76.6,0,0.0,102
ohe_geo_cluster__CL_38.9_-77.0,0,0.0,103
ohe_geo_cluster__CL_37.8_-122.4,0,0.0,104
ohe_geo_cluster__CL_37.8_-122.3,0,0.0,105
ohe_geo_cluster__CL_36.8_-119.8,0,0.0,106
ohe_geo_cluster__CL_36.1_-115.2,0,0.0,107
ohe_geo_cluster__CL_34.2_-119.2,0,0.0,108
ohe_geo_cluster__CL_40.8_-74.0,0,0.0,109
