feature,importance,importance_norm,rank
category_closure_risk,1999,0.2242539824994391,1
geo_cluster_id,1556,0.1745568768229751,2
name_length,1513,0.16973300426295715,3
spatial_cluster_closed_rate,965,0.10825667489342607,4
max_update_time,475,0.05328696432577967,5
num_categories,240,0.026923939869867623,6
completeness_score,220,0.024680278214045323,7
address_completeness,204,0.02288534888938748,8
recency_days,182,0.020417321067982948,9
ohe_primary_category__lawyer,169,0.018958940991698453,10
has_long_name,124,0.013910702266098272,11
ohe_primary_category__american_restaurant,115,0.012901054520978237,12
has_chain_pattern,108,0.012115772941440431,13
ohe_primary_category__hotel,87,0.009759928202827013,14
has_websites,73,0.008189365043751402,15
ohe_primary_category__holiday_rental_home,66,0.007404083464213597,16
has_phones,57,0.00639443571909356,17
contact_diversity,53,0.0059457033879291,18
ohe_primary_category__professional_services,51,0.00572133722234687,19
ohe_primary_category__convenience_store,51,0.00572133722234687,20
recent_with_contacts,50,0.005609154139555755,21
ohe_primary_category__restaurant,42,0.004711689477226834,22
brand_with_contacts,40,0.004487323311644604,23
fresh,38,0.0042629571460623735,24
ohe_primary_category__grocery_store,36,0.004038590980480144,25
ohe_geo_cluster__CL_40.7_-74.0,33,0.0037020417321067985,26
ohe_primary_category__flowers_and_gifts_shop,30,0.003365492483733453,27
ohe_primary_category__resort,30,0.003365492483733453,28
ohe_primary_category__accommodation,30,0.003365492483733453,29
ohe_source_dataset__Microsoft,29,0.0032533094009423377,30
has_socials,29,0.0032533094009423377,31
has_alternate_categories,27,0.003028943235360108,32
ohe_primary_category__bar,25,0.0028045770697778774,33
ohe_primary_category__coffee_shop,23,0.0025802109041956475,34
ohe_primary_category__event_planning,21,0.002355844738613417,35
rich_profile,21,0.002355844738613417,36
num_phones,15,0.0016827462418667265,37
ohe_primary_category__campground,13,0.0014583800762844963,38
num_websites,12,0.0013461969934933811,39
has_short_name,11,0.0012340139107022662,40
ohe_primary_category__day_care_preschool,9,0.001009647745120036,41
ohe_primary_category__shopping,8,0.0008974646623289208,42
has_full_contact_info,7,0.0007852815795378057,43
websites_present,5,0.0005609154139555755,44
phones_present,4,0.0004487323311644604,45
single_source_no_socials,3,0.0003365492483733453,46
num_socials,3,0.0003365492483733453,47
stale,3,0.0003365492483733453,48
ohe_primary_category__rv_park,3,0.0003365492483733453,49
has_brand,3,0.0003365492483733453,50
very_stale,1,0.0001121830827911151,51
ohe_source_dataset__meta,1,0.0001121830827911151,52
socials_present,1,0.0001121830827911151,53
has_multiple_websites,0,0.0,54
has_multiple_sources,0,0.0,55
ohe_primary_category__software_development,0,0.0,56
ohe_geo_cluster__CL_36.1_-115.2,0,0.0,57
ohe_primary_category__self_storage_facility,0,0.0,58
has_multiple_socials,0,0.0,59
ohe_primary_category__retail,0,0.0,60
has_name,0,0.0,61
has_primary_category,0,0.0,62
num_addresses,0,0.0,63
num_sources,0,0.0,64
num_datasets,0,0.0,65
has_multiple_phones,0,0.0,66
ohe_primary_category__printing_services,0,0.0,67
has_multiple_datasets,0,0.0,68
has_multiple_addresses,0,0.0,69
has_many_sources,0,0.0,70
single_source,0,0.0,71
has_addresses,0,0.0,72
source_temporal_diversity,0,0.0,73
sources_n,0,0.0,74
very_fresh,0,0.0,75
multi_dataset_with_contacts,0,0.0,76
ohe_primary_category__mexican_restaurant,0,0.0,77
ohe_geo_cluster__CL_36.8_-119.8,0,0.0,78
multiple_sources_with_contacts,0,0.0,79
ohe_geo_cluster__CL_37.8_-122.4,0,0.0,80
ohe_geo_cluster__CL_38.9_-77.0,0,0.0,81
ohe_geo_cluster__CL_39.3_-76.6,0,0.0,82
ohe_geo_cluster__CL_39.4_-77.4,0,0.0,83
ohe_geo_cluster__CL_39.7_-105.0,0,0.0,84
ohe_geo_cluster__CL_40.0_-75.2,0,0.0,85
ohe_geo_cluster__CL_40.4_-80.0,0,0.0,86
ohe_geo_cluster__CL_40.7_-73.8,0,0.0,87
ohe_geo_cluster__CL_34.2_-119.2,0,0.0,88
ohe_geo_cluster__CL_40.8_-74.0,0,0.0,89
ohe_geo_cluster__CL_41.8_-87.7,0,0.0,90
ohe_geo_cluster__CL_41.9_-87.6,0,0.0,91
ohe_geo_cluster__CL_42.0_-87.8,0,0.0,92
ohe_geo_cluster__CL_42.4_-71.1,0,0.0,93
ohe_geo_cluster__CL_47.6_-122.3,0,0.0,94
ohe_geo_cluster__CL_34.2_-118.4,0,0.0,95
ohe_geo_cluster__CL_34.1_-118.3,0,0.0,96
ohe_geo_cluster__CL_34.1_-118.1,0,0.0,97
ohe_geo_cluster__CL_34.0_-118.3,0,0.0,98
ohe_geo_cluster__CL_33.5_-112.0,0,0.0,99
ohe_primary_category__construction_services,0,0.0,100
ohe_geo_cluster__CL_33.2_-96.6,0,0.0,101
ohe_geo_cluster__CL_33.2_-117.3,0,0.0,102
ohe_geo_cluster__CL_32.8_-96.8,0,0.0,103
ohe_geo_cluster__CL_32.7_-117.2,0,0.0,104
ohe_primary_category__funeral_services_and_cemeteries,0,0.0,105
ohe_geo_cluster__CL_30.3_-97.7,0,0.0,106
ohe_geo_cluster__CL_29.4_-98.5,0,0.0,107
ohe_geo_cluster__CL_25.8_-80.1,0,0.0,108
addresses_present,0,0.0,109
