feature,importance,importance_norm,rank
spatial_cluster_closed_rate,0.4929828639032095,0.4929828639032094,1
category_closure_risk,0.14366171827466392,0.1436617182746639,2
name_length,0.03912758689645333,0.03912758689645332,3
geo_cluster_id,0.036913346465644925,0.03691334646564492,4
address_completeness,0.03391441710022255,0.03391441710022254,5
max_update_time,0.024836150947465406,0.0248361509474654,6
recency_days,0.02313815221273724,0.023138152212737236,7
num_categories,0.013121669141781497,0.013121669141781494,8
num_phones,0.008693849487627579,0.008693849487627577,9
recent_with_contacts,0.008606146876644781,0.00860614687664478,10
completeness_score,0.008578936678697526,0.008578936678697524,11
has_long_name,0.00842333486136033,0.008423334861360328,12
has_phones,0.008088031314564405,0.008088031314564403,13
contact_diversity,0.005385231033687927,0.0053852310336879265,14
phones_present,0.005267576617135908,0.005267576617135907,15
fresh,0.005215086057241247,0.005215086057241246,16
rich_profile,0.005103655119765577,0.005103655119765576,17
stale,0.004761805388473728,0.004761805388473727,18
ohe_primary_category__hotel,0.00440942891361748,0.004409428913617479,19
has_full_contact_info,0.004409113739604472,0.0044091137396044715,20
ohe_primary_category__coffee_shop,0.0037398115658564767,0.003739811565856476,21
ohe_source_dataset__meta,0.003445882326170904,0.003445882326170903,22
very_stale,0.003421725008031858,0.0034217250080318573,23
has_websites,0.0033973642204272545,0.0033973642204272536,24
ohe_source_dataset__Microsoft,0.0033477460955631203,0.0033477460955631195,25
has_multiple_datasets,0.0031786169149515073,0.0031786169149515065,26
ohe_primary_category__discount_store,0.0031555880090754925,0.0031555880090754916,27
num_socials,0.0031166308838895753,0.0031166308838895744,28
ohe_primary_category__restaurant,0.0030760286585117523,0.0030760286585117514,29
ohe_primary_category__pizza_restaurant,0.003030667341980324,0.0030306673419803233,30
has_alternate_categories,0.0029491441762862568,0.002949144176286256,31
ohe_primary_category__fast_food_restaurant,0.0028544870417983193,0.002854487041798319,32
single_source,0.0027752217081658185,0.002775221708165818,33
very_fresh,0.0027537605021337617,0.0027537605021337613,34
ohe_geo_cluster__CL_41.9_-87.6,0.0026696330983189834,0.002669633098318983,35
ohe_primary_category__accommodation,0.0026244759088830958,0.0026244759088830953,36
