feature,importance,importance_norm,rank
spatial_cluster_closed_rate,0.19865836,0.19865836,1
num_datasets,0.08691408,0.08691408,2
address_completeness,0.06272863,0.06272863,3
stale,0.045017447,0.045017447,4
has_phones,0.028816061,0.028816061,5
very_stale,0.028514758,0.028514758,6
ohe_geo_cluster__CL_36.1_-115.2,0.023257745,0.023257745,7
ohe_primary_category__shopping,0.021969203,0.021969203,8
category_closure_risk,0.021150298,0.021150298,9
ohe_geo_cluster__CL_34.0_-118.3,0.020292582,0.020292582,10
max_update_time,0.019517178,0.019517178,11
phones_present,0.019078832,0.019078832,12
has_socials,0.018981855,0.018981855,13
ohe_source_dataset__meta,0.017207371,0.017207371,14
ohe_primary_category__lawyer,0.017171558,0.017171558,15
has_multiple_datasets,0.015668727,0.015668727,16
ohe_primary_category__resort,0.01563189,0.01563189,17
recency_days,0.014739686,0.014739686,18
num_socials,0.013896037,0.013896037,19
has_websites,0.013456297,0.013456297,20
ohe_geo_cluster__CL_42.4_-71.1,0.012752662,0.012752662,21
ohe_primary_category__accommodation,0.01189137,0.01189137,22
ohe_geo_cluster__CL_38.9_-77.0,0.011882525,0.011882525,23
ohe_primary_category__convenience_store,0.01182598,0.01182598,24
completeness_score,0.010876301,0.010876301,25
ohe_primary_category__mobile_phone_store,0.010714917,0.010714917,26
ohe_primary_category__pizza_restaurant,0.010548655,0.010548655,27
has_chain_pattern,0.010517949,0.010517949,28
recent_with_contacts,0.010346728,0.010346728,29
num_categories,0.009904757,0.009904757,30
ohe_source_dataset__Microsoft,0.009787376,0.009787376,31
ohe_primary_category__coffee_shop,0.009604194,0.009604194,32
has_alternate_categories,0.009495197,0.009495197,33
name_length,0.009436946,0.009436946,34
ohe_primary_category__hotel,0.009217714,0.009217714,35
geo_cluster_id,0.009198581,0.009198581,36
has_multiple_sources,0.009067422,0.009067422,37
ohe_primary_category__restaurant,0.008958842,0.008958842,38
ohe_geo_cluster__CL_41.9_-87.6,0.008192301,0.008192301,39
ohe_geo_cluster__CL_40.7_-74.0,0.008056787,0.008056787,40
ohe_primary_category__professional_services,0.008053899,0.008053899,41
contact_diversity,0.0077580228,0.0077580228,42
multi_dataset_with_contacts,0.007589557,0.007589557,43
brand_with_contacts,0.007500924,0.007500924,44
ohe_primary_category__flowers_and_gifts_shop,0.007477554,0.007477554,45
ohe_primary_category__day_care_preschool,0.0072563766,0.0072563766,46
has_long_name,0.006716501,0.006716501,47
ohe_primary_category__american_restaurant,0.0066013923,0.0066013923,48
num_websites,0.006587965,0.006587965,49
multiple_sources_with_contacts,0.006000443,0.006000443,50
num_phones,0.0055299727,0.0055299727,51
rich_profile,0.00527706,0.00527706,52
ohe_primary_category__holiday_rental_home,0.005065248,0.005065248,53
has_full_contact_info,0.003901937,0.003901937,54
ohe_primary_category__hardware_store,0.0037373886,0.0037373886,55
ohe_primary_category__funeral_services_and_cemeteries,0.0,0.0,56
addresses_present,0.0,0.0,57
ohe_primary_category__mexican_restaurant,0.0,0.0,58
ohe_primary_category__printing_services,0.0,0.0,59
ohe_primary_category__self_storage_facility,0.0,0.0,60
num_addresses,0.0,0.0,61
ohe_primary_category__fast_food_restaurant,0.0,0.0,62
single_source,0.0,0.0,63
single_source_no_socials,0.0,0.0,64
socials_present,0.0,0.0,65
source_temporal_diversity,0.0,0.0,66
sources_n,0.0,0.0,67
very_fresh,0.0,0.0,68
num_sources,0.0,0.0,69
ohe_geo_cluster__CL_40.8_-74.0,0.0,0.0,70
ohe_primary_category__event_planning,0.0,0.0,71
has_name,0.0,0.0,72
ohe_geo_cluster__CL_32.8_-96.8,0.0,0.0,73
ohe_geo_cluster__CL_30.3_-97.7,0.0,0.0,74
ohe_geo_cluster__CL_29.7_-95.4,0.0,0.0,75
ohe_geo_cluster__CL_29.4_-98.5,0.0,0.0,76
ohe_geo_cluster__CL_25.8_-80.1,0.0,0.0,77
has_short_name,0.0,0.0,78
has_primary_category,0.0,0.0,79
has_multiple_websites,0.0,0.0,80
ohe_geo_cluster__CL_34.0_-118.2,0.0,0.0,81
has_multiple_socials,0.0,0.0,82
has_multiple_phones,0.0,0.0,83
has_multiple_addresses,0.0,0.0,84
has_many_sources,0.0,0.0,85
has_brand,0.0,0.0,86
has_addresses,0.0,0.0,87
