feature,importance,importance_norm,rank
spatial_cluster_closed_rate,0.22490382,0.22490384,1
address_completeness,0.07408864,0.07408865,2
socials_present,0.07343331,0.07343332,3
ohe_source_dataset__meta,0.04911192,0.049111925,4
ohe_primary_category__flowers_and_gifts_shop,0.029485075,0.029485077,5
max_update_time,0.028197853,0.028197855,6
stale,0.027140833,0.027140835,7
ohe_geo_cluster__CL_34.0_-118.3,0.026353344,0.026353346,8
has_phones,0.025515763,0.025515765,9
category_closure_risk,0.022210602,0.022210604,10
ohe_primary_category__self_storage_facility,0.02123216,0.021232162,11
ohe_primary_category__grocery_store,0.017998874,0.017998876,12
ohe_primary_category__retail,0.017443582,0.017443584,13
phones_present,0.017322976,0.017322978,14
ohe_primary_category__coffee_shop,0.016918723,0.016918724,15
num_phones,0.016121792,0.016121794,16
completeness_score,0.016009873,0.016009875,17
ohe_source_dataset__Microsoft,0.015620571,0.015620572,18
has_socials,0.015302226,0.015302227,19
ohe_primary_category__rv_park,0.01522898,0.015228981,20
has_websites,0.014331884,0.014331885,21
ohe_primary_category__campground,0.01318311,0.013183111,22
ohe_geo_cluster__CL_36.1_-115.2,0.012171425,0.012171426,23
ohe_geo_cluster__CL_41.9_-87.6,0.011030744,0.011030745,24
websites_present,0.010580229,0.01058023,25
ohe_primary_category__bar,0.010552873,0.010552874,26
num_categories,0.01020615,0.010206151,27
ohe_primary_category__hotel,0.009792084,0.009792085,28
ohe_primary_category__restaurant,0.00961545,0.009615451,29
has_brand,0.009529487,0.009529488,30
contact_diversity,0.009233914,0.009233915,31
ohe_primary_category__shopping,0.0092318095,0.00923181,32
has_long_name,0.0091426615,0.009142662,33
ohe_primary_category__resort,0.009141615,0.009141616,34
name_length,0.009139465,0.009139466,35
geo_cluster_id,0.009071744,0.009071745,36
recent_with_contacts,0.009057105,0.0090571055,37
ohe_primary_category__american_restaurant,0.008928073,0.008928074,38
ohe_primary_category__professional_services,0.008876278,0.008876279,39
brand_with_contacts,0.008407652,0.008407653,40
ohe_primary_category__event_planning,0.008215229,0.00821523,41
recency_days,0.008131192,0.008131193,42
num_websites,0.007961556,0.007961557,43
ohe_geo_cluster__CL_40.7_-74.0,0.007235264,0.0072352644,44
has_alternate_categories,0.0069736387,0.006973639,45
ohe_primary_category__accommodation,0.005633925,0.0056339256,46
has_full_contact_info,0.0030025775,0.0030025777,47
very_stale,0.0011821495,0.0011821496,48
ohe_primary_category__holiday_rental_home,0.00051610294,0.000516103,49
ohe_primary_category__day_care_preschool,0.00028360495,0.00028360498,50
has_multiple_sources,0.0,0.0,51
has_multiple_phones,0.0,0.0,52
num_addresses,0.0,0.0,53
has_multiple_socials,0.0,0.0,54
has_multiple_websites,0.0,0.0,55
ohe_primary_category__software_development,0.0,0.0,56
has_multiple_datasets,0.0,0.0,57
has_name,0.0,0.0,58
has_primary_category,0.0,0.0,59
has_short_name,0.0,0.0,60
multi_dataset_with_contacts,0.0,0.0,61
num_datasets,0.0,0.0,62
ohe_geo_cluster__CL_34.2_-119.2,0.0,0.0,63
num_socials,0.0,0.0,64
ohe_geo_cluster__CL_25.8_-80.1,0.0,0.0,65
num_sources,0.0,0.0,66
has_multiple_addresses,0.0,0.0,67
has_many_sources,0.0,0.0,68
has_chain_pattern,0.0,0.0,69
rich_profile,0.0,0.0,70
single_source,0.0,0.0,71
single_source_no_socials,0.0,0.0,72
has_addresses,0.0,0.0,73
source_temporal_diversity,0.0,0.0,74
sources_n,0.0,0.0,75
fresh,0.0,0.0,76
very_fresh,0.0,0.0,77
multiple_sources_with_contacts,0.0,0.0,78
ohe_primary_category__mexican_restaurant,0.0,0.0,79
ohe_primary_category__printing_services,0.0,0.0,80
ohe_geo_cluster__CL_36.8_-119.8,0.0,0.0,81
ohe_geo_cluster__CL_37.8_-122.4,0.0,0.0,82
ohe_geo_cluster__CL_38.9_-77.0,0.0,0.0,83
ohe_geo_cluster__CL_39.3_-76.6,0.0,0.0,84
ohe_geo_cluster__CL_39.4_-77.4,0.0,0.0,85
ohe_geo_cluster__CL_39.7_-105.0,0.0,0.0,86
ohe_geo_cluster__CL_40.0_-75.2,0.0,0.0,87
ohe_geo_cluster__CL_40.4_-80.0,0.0,0.0,88
ohe_geo_cluster__CL_40.7_-73.8,0.0,0.0,89
ohe_geo_cluster__CL_34.2_-118.4,0.0,0.0,90
ohe_geo_cluster__CL_40.8_-74.0,0.0,0.0,91
ohe_geo_cluster__CL_41.8_-87.7,0.0,0.0,92
ohe_geo_cluster__CL_34.1_-118.3,0.0,0.0,93
ohe_geo_cluster__CL_42.0_-87.8,0.0,0.0,94
ohe_geo_cluster__CL_42.4_-71.1,0.0,0.0,95
ohe_geo_cluster__CL_47.6_-122.3,0.0,0.0,96
ohe_geo_cluster__CL_34.1_-118.1,0.0,0.0,97
ohe_geo_cluster__CL_33.5_-112.0,0.0,0.0,98
ohe_geo_cluster__CL_33.2_-96.6,0.0,0.0,99
ohe_geo_cluster__CL_33.2_-117.3,0.0,0.0,100
ohe_primary_category__construction_services,0.0,0.0,101
ohe_primary_category__convenience_store,0.0,0.0,102
ohe_geo_cluster__CL_32.8_-96.8,0.0,0.0,103
ohe_geo_cluster__CL_32.7_-117.2,0.0,0.0,104
ohe_primary_category__funeral_services_and_cemeteries,0.0,0.0,105
ohe_geo_cluster__CL_30.3_-97.7,0.0,0.0,106
ohe_geo_cluster__CL_29.4_-98.5,0.0,0.0,107
ohe_primary_category__lawyer,0.0,0.0,108
addresses_present,0.0,0.0,109
