model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k,threshold,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",15,10,20,0.5,0.8768135160355581,0.010449819680687448,0.9205386873578736,0.0029679284057850643,0.9460714285714286,0.01124102060391702,0.9330993259566223,0.006013510661135809,0.26621534847995715,0.05183874148667946,0.18920217209690898,0.029212034826800688,0.2196864818693693,0.032691033604045815,0.18701652189427137,0.028548283669967388
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",15,10,30,0.5,0.8752988907364919,0.008723811747558539,0.9204146371435813,0.0027248008933250406,0.944404761904762,0.009777861523038606,0.9322293509784669,0.005037850400834606,0.2585881127172696,0.041461974242635764,0.18920217209690895,0.027718386769737778,0.21722853254143876,0.027645615426221407,0.1872278186901023,0.028261871398473446
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",15,10,45,0.5,0.8770296154412848,0.00986098068792961,0.9203665035157969,0.0027347858156114412,0.9465476190476191,0.011132066407200917,0.9332405981078479,0.005700658011755849,0.2652179635408002,0.04752132637304406,0.1868212197159566,0.028465859232731892,0.21753410831611983,0.029177251401273276,0.18675224927291859,0.029374271111125973
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",15,10,60,0.5,0.8770292646305612,0.010537538598379954,0.9201723244594265,0.002629633066859064,0.9467857142857142,0.012114813555436713,0.933250112510464,0.006112694054931687,0.26457659258191174,0.04882737367510441,0.18446115288220558,0.027769500842854254,0.21544312813328742,0.028008277990421965,0.1889817314156976,0.03020801364359775
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",15,20,20,0.5,0.8768135160355581,0.010449819680687448,0.9205386873578736,0.0029679284057850643,0.9460714285714286,0.01124102060391702,0.9330993259566223,0.006013510661135809,0.26621534847995715,0.05183874148667946,0.18920217209690898,0.029212034826800688,0.2196864818693693,0.032691033604045815,0.18701652189427137,0.028548283669967388
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",15,20,30,0.5,0.8752988907364919,0.008723811747558539,0.9204146371435813,0.0027248008933250406,0.944404761904762,0.009777861523038606,0.9322293509784669,0.005037850400834606,0.2585881127172696,0.041461974242635764,0.18920217209690895,0.027718386769737778,0.21722853254143876,0.027645615426221407,0.1872278186901023,0.028261871398473446
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",15,20,45,0.5,0.8770296154412848,0.00986098068792961,0.9203665035157969,0.0027347858156114412,0.9465476190476191,0.011132066407200917,0.9332405981078479,0.005700658011755849,0.2652179635408002,0.04752132637304406,0.1868212197159566,0.028465859232731892,0.21753410831611983,0.029177251401273276,0.18675224927291859,0.029374271111125973
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",15,20,60,0.5,0.8770292646305612,0.010537538598379954,0.9201723244594265,0.002629633066859064,0.9467857142857142,0.012114813555436713,0.933250112510464,0.006112694054931687,0.26457659258191174,0.04882737367510441,0.18446115288220558,0.027769500842854254,0.21544312813328742,0.028008277990421965,0.1889817314156976,0.03020801364359775
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",15,30,20,0.5,0.8768135160355581,0.010449819680687448,0.9205386873578736,0.0029679284057850643,0.9460714285714286,0.01124102060391702,0.9330993259566223,0.006013510661135809,0.26621534847995715,0.05183874148667946,0.18920217209690898,0.029212034826800688,0.2196864818693693,0.032691033604045815,0.18701652189427137,0.028548283669967388
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",15,30,30,0.5,0.8752988907364919,0.008723811747558539,0.9204146371435813,0.0027248008933250406,0.944404761904762,0.009777861523038606,0.9322293509784669,0.005037850400834606,0.2585881127172696,0.041461974242635764,0.18920217209690895,0.027718386769737778,0.21722853254143876,0.027645615426221407,0.1872278186901023,0.028261871398473446
