model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k,threshold,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",20,5,35,0.5,0.7420504535982656,0.025715826457908167,0.9353181208763707,0.009823946755257898,0.7692857142857144,0.026759510992755982,0.8439788371568313,0.017560074951988767,0.1716205169832292,0.029961313606535953,0.47178362573099414,0.08218969421957324,0.251187779720443,0.042619322847291106,0.2638264100098173,0.05112704295495664
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",20,5,45,0.5,0.7389157843776969,0.022904498873994875,0.9359203385516348,0.009265304441369297,0.7650000000000001,0.02316202909584422,0.8416998129216348,0.01561519850354839,0.17123568812843298,0.027407735261720686,0.4799707602339181,0.07639970278257453,0.2520854179779056,0.039389786794108775,0.26021715944095336,0.045388607861622195
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",20,5,55,0.5,0.7381589102415682,0.026819954191671453,0.9359638051687753,0.008920021145743378,0.764047619047619,0.028165771027904973,0.8410547198541568,0.018543084250548875,0.17143491319009652,0.029087121786446256,0.48103592314118626,0.07506410943411164,0.2523111399022993,0.04069175740261789,0.25918696820423187,0.04744375330814411
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",20,10,35,0.5,0.7420504535982656,0.025715826457908167,0.9353181208763707,0.009823946755257898,0.7692857142857144,0.026759510992755982,0.8439788371568313,0.017560074951988767,0.1716205169832292,0.029961313606535953,0.47178362573099414,0.08218969421957324,0.251187779720443,0.042619322847291106,0.2638264100098173,0.05112704295495664
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",20,10,45,0.5,0.7389157843776969,0.022904498873994875,0.9359203385516348,0.009265304441369297,0.7650000000000001,0.02316202909584422,0.8416998129216348,0.01561519850354839,0.17123568812843298,0.027407735261720686,0.4799707602339181,0.07639970278257453,0.2520854179779056,0.039389786794108775,0.26021715944095336,0.045388607861622195
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",20,10,55,0.5,0.7381589102415682,0.026819954191671453,0.9359638051687753,0.008920021145743378,0.764047619047619,0.028165771027904973,0.8410547198541568,0.018543084250548875,0.17143491319009652,0.029087121786446256,0.48103592314118626,0.07506410943411164,0.2523111399022993,0.04069175740261789,0.25918696820423187,0.04744375330814411
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",20,15,35,0.5,0.7420504535982656,0.025715826457908167,0.9353181208763707,0.009823946755257898,0.7692857142857144,0.026759510992755982,0.8439788371568313,0.017560074951988767,0.1716205169832292,0.029961313606535953,0.47178362573099414,0.08218969421957324,0.251187779720443,0.042619322847291106,0.2638264100098173,0.05112704295495664
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",20,15,45,0.5,0.7389157843776969,0.022904498873994875,0.9359203385516348,0.009265304441369297,0.7650000000000001,0.02316202909584422,0.8416998129216348,0.01561519850354839,0.17123568812843298,0.027407735261720686,0.4799707602339181,0.07639970278257453,0.2520854179779056,0.039389786794108775,0.26021715944095336,0.045388607861622195
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",20,15,55,0.5,0.7381589102415682,0.026819954191671453,0.9359638051687753,0.008920021145743378,0.764047619047619,0.028165771027904973,0.8410547198541568,0.018543084250548875,0.17143491319009652,0.029087121786446256,0.48103592314118626,0.07506410943411164,0.2523111399022993,0.04069175740261789,0.25918696820423187,0.04744375330814411
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",20,20,35,0.5,0.7420504535982656,0.025715826457908167,0.9353181208763707,0.009823946755257898,0.7692857142857144,0.026759510992755982,0.8439788371568313,0.017560074951988767,0.1716205169832292,0.029961313606535953,0.47178362573099414,0.08218969421957324,0.251187779720443,0.042619322847291106,0.2638264100098173,0.05112704295495664
