model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k,threshold,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",15,10,20,0.5,0.8961707255467386,0.0052088307365317724,0.9122420831758459,0.0024689798548295588,0.98,0.005766133827767799,0.944897293519411,0.002872437289284455,0.24291634291634293,0.09628830534384047,0.06374269005847953,0.031389636460006407,0.09961261211973751,0.04546551972232451,0.18966582104939292,0.02976259616848718
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",15,10,30,0.5,0.9011459232285812,0.0048394516058293015,0.912775792309853,0.002432102585434265,0.9853571428571429,0.004711037842240357,0.947672129079735,0.0026275053593389558,0.30826062826062817,0.13133108459305404,0.06493316624895572,0.030030221420143777,0.10623968403637832,0.04718249700293329,0.20393708601665814,0.03313100591314092
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",15,10,45,0.5,0.9036338728802261,0.005359579283393158,0.9115429132584372,0.0021196794098059155,0.9899999999999999,0.004870779177494966,0.9491480957582455,0.0029060918584180337,0.3407287157287157,0.17739849012973835,0.04605263157894736,0.023962103990777143,0.08015588884306571,0.04074065590056278,0.20792532034482283,0.03332428934743267
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",15,10,60,0.5,0.9033091975555508,0.00606964208212543,0.9120592512417747,0.0027092869043294832,0.9889285714285715,0.005578749768504772,0.9489322609357279,0.003282740479412218,0.3713683048977166,0.2485490771518649,0.05317460317460318,0.030344723582328727,0.09072127555898324,0.05016371863508799,0.21084933821573787,0.03482636695309991
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",15,20,20,0.5,0.8961707255467386,0.0052088307365317724,0.9122420831758459,0.0024689798548295588,0.98,0.005766133827767799,0.944897293519411,0.002872437289284455,0.24291634291634293,0.09628830534384047,0.06374269005847953,0.031389636460006407,0.09961261211973751,0.04546551972232451,0.18966582104939292,0.02976259616848718
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",15,20,30,0.5,0.9011459232285812,0.0048394516058293015,0.912775792309853,0.002432102585434265,0.9853571428571429,0.004711037842240357,0.947672129079735,0.0026275053593389558,0.30826062826062817,0.13133108459305404,0.06493316624895572,0.030030221420143777,0.10623968403637832,0.04718249700293329,0.20393708601665814,0.03313100591314092
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",15,20,45,0.5,0.9036338728802261,0.005359579283393158,0.9115429132584372,0.0021196794098059155,0.9899999999999999,0.004870779177494966,0.9491480957582455,0.0029060918584180337,0.3407287157287157,0.17739849012973835,0.04605263157894736,0.023962103990777143,0.08015588884306571,0.04074065590056278,0.20792532034482283,0.03332428934743267
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",15,20,60,0.5,0.9033091975555508,0.00606964208212543,0.9120592512417747,0.0027092869043294832,0.9889285714285715,0.005578749768504772,0.9489322609357279,0.003282740479412218,0.3713683048977166,0.2485490771518649,0.05317460317460318,0.030344723582328727,0.09072127555898324,0.05016371863508799,0.21084933821573787,0.03482636695309991
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",15,30,20,0.5,0.8961707255467386,0.0052088307365317724,0.9122420831758459,0.0024689798548295588,0.98,0.005766133827767799,0.944897293519411,0.002872437289284455,0.24291634291634293,0.09628830534384047,0.06374269005847953,0.031389636460006407,0.09961261211973751,0.04546551972232451,0.18966582104939292,0.02976259616848718
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",15,30,30,0.5,0.9011459232285812,0.0048394516058293015,0.912775792309853,0.002432102585434265,0.9853571428571429,0.004711037842240357,0.947672129079735,0.0026275053593389558,0.30826062826062817,0.13133108459305404,0.06493316624895572,0.030030221420143777,0.10623968403637832,0.04718249700293329,0.20393708601665814,0.03313100591314092
