batch_id,strategy,model_type,labeled_cumulative,n_gold,n_silver,auto_precision,test_pr_auc,seed
0,uncertainty,logistic_regression,0,38,251,0.5537848605577689,,0
1,uncertainty,logistic_regression,289,38,552,0.8822463768115942,0.17851515580394578,0
2,uncertainty,logistic_regression,879,38,337,0.599406528189911,0.16456471943206435,0
3,uncertainty,logistic_regression,1254,38,271,0.7380073800738007,0.1956670558836487,0
0,random,logistic_regression,0,38,218,0.536697247706422,,0
1,random,logistic_regression,256,38,307,0.8110749185667753,0.12186423450548932,0
2,random,logistic_regression,601,38,266,0.6804511278195489,0.15824733011551975,0
3,random,logistic_regression,905,38,211,0.919431279620853,0.16806651696616345,0
0,static,logistic_regression,0,0,241,0.5186721991701245,,0
1,static,logistic_regression,241,0,418,0.84688995215311,0.10870684603600433,0
2,static,logistic_regression,659,0,253,0.7391304347826086,0.13044441131058282,0
3,static,logistic_regression,912,0,231,0.8528138528138528,0.13601906795791707,0
0,uncertainty,xgboost,0,38,245,0.5061224489795918,,0
1,uncertainty,xgboost,283,5,765,0.9019607843137255,0.08793796474541832,0
2,uncertainty,xgboost,1053,4,766,0.8981723237597912,0.08877523636353363,0
3,uncertainty,xgboost,1823,8,764,0.925392670157068,0.08102940690436877,0
0,random,xgboost,0,38,200,0.49,,0
1,random,xgboost,238,3,767,0.9022164276401564,0.09061357954227879,0
2,random,xgboost,1008,5,765,0.9019607843137255,0.0829378526788931,0
3,random,xgboost,1778,6,766,0.9242819843342036,0.07888024900614474,0
0,static,xgboost,0,0,224,0.5178571428571429,,0
1,static,xgboost,224,0,769,0.9011703511053316,0.10077704145118427,0
2,static,xgboost,993,0,725,0.8993103448275862,0.13569787078763684,0
3,static,xgboost,1718,0,764,0.9240837696335078,0.08180373203798695,0
0,uncertainty,logistic_regression,0,38,218,0.5,,1
1,uncertainty,logistic_regression,256,38,325,0.8892307692307693,0.12267720583509213,1
2,uncertainty,logistic_regression,619,38,279,0.6379928315412187,0.14139994701234515,1
3,uncertainty,logistic_regression,936,38,233,0.8111587982832618,0.20471931560839554,1
0,random,logistic_regression,0,38,223,0.49327354260089684,,1
1,random,logistic_regression,261,38,413,0.8523002421307506,0.11592957951302098,1
2,random,logistic_regression,712,38,224,0.6875,0.16468622505234276,1
3,random,logistic_regression,974,38,195,0.8871794871794871,0.24444463979713324,1
0,static,logistic_regression,0,0,228,0.4780701754385965,,1
1,static,logistic_regression,228,0,522,0.8563218390804598,0.1351844388717606,1
2,static,logistic_regression,750,0,268,0.6231343283582089,0.1452281658734923,1
3,static,logistic_regression,1018,0,216,0.8009259259259259,0.19208684105002383,1
0,uncertainty,xgboost,0,38,250,0.512,,1
1,uncertainty,xgboost,288,3,767,0.8891786179921773,0.11320053295068722,1
2,uncertainty,xgboost,1058,11,759,0.9011857707509882,0.10284494354772925,1
3,uncertainty,xgboost,1828,1,771,0.893644617380026,0.08771121993241134,1
0,random,xgboost,0,38,219,0.4611872146118721,,1
1,random,xgboost,257,1,769,0.8894668400520156,0.13487622905531002,1
2,random,xgboost,1027,10,760,0.8986842105263158,0.08638577249625767,1
3,random,xgboost,1797,4,768,0.8958333333333334,0.09477846612068344,1
0,static,xgboost,0,0,226,0.4557522123893805,,1
1,static,xgboost,226,0,769,0.8894668400520156,0.1288653927329304,1
2,static,xgboost,995,0,760,0.9013157894736842,0.1009941827596759,1
3,static,xgboost,1755,0,768,0.8958333333333334,0.09026816748133713,1
